trial,machine_type,function,cpu,ram,time
35,ubuntu_pc,selection_sort,98.65,19.64,1.559
35,ubuntu_pc,insertion_sort,98.86,19.644,1.651
35,ubuntu_pc,merge_sort,36.9,19.96,0.021
35,ubuntu_pc,quick_sort,37.05,19.669,0.013
35,ubuntu_pc,heap_sort,49.47,19.653,0.033
36,ubuntu_pc,bubble_sort,99.64,19.603,5.903
36,ubuntu_pc,selection_sort,98.67,19.644,1.564
36,ubuntu_pc,insertion_sort,98.89,19.649,1.648
36,ubuntu_pc,merge_sort,37.0,19.964,0.021
36,ubuntu_pc,quick_sort,37.05,19.673,0.013
36,ubuntu_pc,heap_sort,49.53,19.657,0.032
37,ubuntu_pc,bubble_sort,99.61,19.62,5.813
37,ubuntu_pc,selection_sort,99.03,19.661,1.577
37,ubuntu_pc,insertion_sort,98.67,19.665,1.622
37,ubuntu_pc,merge_sort,0.0,19.98,0.021
37,ubuntu_pc,quick_sort,36.9,19.689,0.013
37,ubuntu_pc,heap_sort,49.97,19.673,0.033
38,ubuntu_pc,bubble_sort,99.6,19.485,5.822
38,ubuntu_pc,selection_sort,98.64,19.526,1.61
38,ubuntu_pc,insertion_sort,98.74,19.53,1.62
38,ubuntu_pc,merge_sort,36.95,19.902,0.021
38,ubuntu_pc,quick_sort,37.2,19.55,0.013
38,ubuntu_pc,heap_sort,49.77,19.538,0.034
39,ubuntu_pc,bubble_sort,99.73,19.636,5.787
39,ubuntu_pc,selection_sort,98.87,19.677,1.596
39,ubuntu_pc,insertion_sort,99.04,19.681,1.638
39,ubuntu_pc,merge_sort,0.0,19.993,0.021
39,ubuntu_pc,quick_sort,36.9,19.702,0.012
39,ubuntu_pc,heap_sort,49.53,19.685,0.033
40,ubuntu_pc,bubble_sort,99.57,19.616,5.943
40,ubuntu_pc,selection_sort,98.63,19.657,1.599
40,ubuntu_pc,insertion_sort,98.66,19.661,1.659
40,ubuntu_pc,merge_sort,37.05,19.968,0.021
40,ubuntu_pc,quick_sort,36.95,19.681,0.013
40,ubuntu_pc,heap_sort,49.53,19.665,0.032
41,ubuntu_pc,bubble_sort,99.62,19.628,5.778
41,ubuntu_pc,selection_sort,98.67,19.673,1.606
41,ubuntu_pc,insertion_sort,98.91,19.677,1.651
41,ubuntu_pc,merge_sort,37.1,19.984,0.021
41,ubuntu_pc,quick_sort,36.9,19.698,0.013
41,ubuntu_pc,heap_sort,49.63,19.681,0.032
42,ubuntu_pc,bubble_sort,99.73,19.624,5.843
42,ubuntu_pc,selection_sort,98.66,19.665,1.569
42,ubuntu_pc,insertion_sort,99.03,19.669,1.641
42,ubuntu_pc,merge_sort,0.0,19.984,0.021
42,ubuntu_pc,quick_sort,37.0,19.694,0.013
42,ubuntu_pc,heap_sort,49.63,19.677,0.033
43,ubuntu_pc,bubble_sort,99.62,19.706,5.811
43,ubuntu_pc,selection_sort,98.43,19.751,1.583
43,ubuntu_pc,insertion_sort,98.47,19.755,1.643
43,ubuntu_pc,merge_sort,37.15,20.07,0.022
43,ubuntu_pc,quick_sort,37.0,19.78,0.013
43,ubuntu_pc,heap_sort,50.03,19.763,0.033
44,ubuntu_pc,bubble_sort,99.73,19.472,5.944
44,ubuntu_pc,selection_sort,98.63,19.517,1.568
44,ubuntu_pc,insertion_sort,98.72,19.522,1.626
44,ubuntu_pc,merge_sort,37.1,19.837,0.021
44,ubuntu_pc,quick_sort,36.95,19.546,0.013
44,ubuntu_pc,heap_sort,49.6,19.53,0.032
45,ubuntu_pc,bubble_sort,99.74,19.632,5.861
45,ubuntu_pc,selection_sort,98.63,19.677,1.568
45,ubuntu_pc,insertion_sort,98.63,19.681,1.658
45,ubuntu_pc,merge_sort,37.0,19.997,0.021
45,ubuntu_pc,quick_sort,36.95,19.706,0.013
45,ubuntu_pc,heap_sort,49.43,19.689,0.032
46,ubuntu_pc,bubble_sort,99.71,19.653,5.933
46,ubuntu_pc,selection_sort,99.05,19.694,1.614
46,ubuntu_pc,insertion_sort,98.5,19.698,1.68
46,ubuntu_pc,merge_sort,36.95,20.009,0.021
46,ubuntu_pc,quick_sort,0.0,19.718,0.015
46,ubuntu_pc,heap_sort,49.27,19.702,0.032
47,ubuntu_pc,bubble_sort,99.63,19.644,6.011
47,ubuntu_pc,selection_sort,98.55,19.685,1.575
47,ubuntu_pc,insertion_sort,99.12,19.689,1.681
47,ubuntu_pc,merge_sort,37.15,20.005,0.021
47,ubuntu_pc,quick_sort,37.0,19.714,0.012
47,ubuntu_pc,heap_sort,49.67,19.698,0.031
48,ubuntu_pc,bubble_sort,99.69,19.591,5.934
48,ubuntu_pc,selection_sort,98.88,19.636,1.585
48,ubuntu_pc,insertion_sort,98.43,19.64,1.637
48,ubuntu_pc,merge_sort,37.0,19.952,0.021
48,ubuntu_pc,quick_sort,37.05,19.661,0.013
48,ubuntu_pc,heap_sort,49.37,19.644,0.032
49,ubuntu_pc,bubble_sort,99.75,19.579,5.82
49,ubuntu_pc,selection_sort,98.64,19.624,1.565
49,ubuntu_pc,insertion_sort,99.07,19.624,1.643
49,ubuntu_pc,merge_sort,37.1,20.009,0.021
49,ubuntu_pc,quick_sort,37.0,19.653,0.012
49,ubuntu_pc,heap_sort,49.57,19.636,0.031
50,ubuntu_pc,bubble_sort,99.6,19.661,5.813
50,ubuntu_pc,selection_sort,98.59,19.702,1.583
50,ubuntu_pc,insertion_sort,98.96,19.706,1.654
50,ubuntu_pc,merge_sort,37.15,20.021,0.021
50,ubuntu_pc,quick_sort,36.95,19.73,0.013
50,ubuntu_pc,heap_sort,49.33,19.718,0.031
51,ubuntu_pc,bubble_sort,99.66,19.608,5.759
51,ubuntu_pc,selection_sort,98.72,19.653,1.576
51,ubuntu_pc,insertion_sort,98.66,19.657,1.625
51,ubuntu_pc,merge_sort,37.05,19.972,0.02
51,ubuntu_pc,quick_sort,37.25,19.681,0.012
51,ubuntu_pc,heap_sort,49.47,19.665,0.031
52,ubuntu_pc,bubble_sort,99.54,19.649,5.857
52,ubuntu_pc,selection_sort,98.97,19.689,1.572
52,ubuntu_pc,insertion_sort,98.68,19.694,1.662
52,ubuntu_pc,merge_sort,37.3,20.009,0.021
52,ubuntu_pc,quick_sort,36.85,19.718,0.012
52,ubuntu_pc,heap_sort,49.5,19.702,0.032
53,ubuntu_pc,bubble_sort,99.51,19.628,5.828
53,ubuntu_pc,selection_sort,98.41,19.669,1.583
53,ubuntu_pc,insertion_sort,98.82,19.673,1.647
53,ubuntu_pc,merge_sort,49.43,19.988,0.026
53,ubuntu_pc,quick_sort,37.3,19.698,0.012
53,ubuntu_pc,heap_sort,49.7,19.681,0.032
54,ubuntu_pc,bubble_sort,99.59,19.595,5.777
54,ubuntu_pc,selection_sort,98.84,19.64,1.581
54,ubuntu_pc,insertion_sort,98.91,19.644,1.611
54,ubuntu_pc,merge_sort,37.15,19.96,0.021
54,ubuntu_pc,quick_sort,37.15,19.669,0.012
54,ubuntu_pc,heap_sort,49.43,19.653,0.031
55,ubuntu_pc,bubble_sort,99.71,19.649,5.827
55,ubuntu_pc,selection_sort,99.01,19.689,1.583
55,ubuntu_pc,insertion_sort,98.86,19.694,1.655
55,ubuntu_pc,merge_sort,36.95,20.013,0.021
55,ubuntu_pc,quick_sort,37.05,19.722,0.012
55,ubuntu_pc,heap_sort,49.33,19.706,0.032
56,ubuntu_pc,bubble_sort,99.74,19.624,5.897
56,ubuntu_pc,selection_sort,98.42,19.669,1.583
56,ubuntu_pc,insertion_sort,98.73,19.673,1.669
56,ubuntu_pc,merge_sort,0.0,19.988,0.02
56,ubuntu_pc,quick_sort,37.05,19.698,0.012
56,ubuntu_pc,heap_sort,49.6,19.681,0.032
57,ubuntu_pc,bubble_sort,99.67,19.444,5.773
57,ubuntu_pc,selection_sort,98.54,19.489,1.564
57,ubuntu_pc,insertion_sort,99.05,19.489,1.631
57,ubuntu_pc,merge_sort,37.05,19.874,0.021
57,ubuntu_pc,quick_sort,37.0,19.517,0.013
57,ubuntu_pc,heap_sort,49.47,19.501,0.033
58,ubuntu_pc,bubble_sort,99.74,19.603,5.771
58,ubuntu_pc,selection_sort,98.88,19.649,1.578
58,ubuntu_pc,insertion_sort,98.84,19.653,1.651
58,ubuntu_pc,merge_sort,37.3,19.968,0.021
58,ubuntu_pc,quick_sort,37.0,19.677,0.013
58,ubuntu_pc,heap_sort,49.57,19.661,0.031
59,ubuntu_pc,bubble_sort,99.66,19.595,5.863
59,ubuntu_pc,selection_sort,98.64,19.636,1.568
59,ubuntu_pc,insertion_sort,99.13,19.64,1.642
59,ubuntu_pc,merge_sort,37.1,19.956,0.021
59,ubuntu_pc,quick_sort,37.1,19.669,0.013
59,ubuntu_pc,heap_sort,49.6,19.649,0.031
60,ubuntu_pc,bubble_sort,99.74,19.649,5.78
60,ubuntu_pc,selection_sort,98.49,19.694,1.58
60,ubuntu_pc,insertion_sort,98.44,19.698,1.634
60,ubuntu_pc,merge_sort,0.0,20.013,0.021
60,ubuntu_pc,quick_sort,37.2,19.722,0.012
60,ubuntu_pc,heap_sort,49.57,19.706,0.031
61,ubuntu_pc,bubble_sort,99.71,19.567,5.879
61,ubuntu_pc,selection_sort,98.88,19.608,1.596
61,ubuntu_pc,insertion_sort,98.92,19.612,1.65
61,ubuntu_pc,merge_sort,37.0,19.923,0.021
61,ubuntu_pc,quick_sort,37.0,19.636,0.013
61,ubuntu_pc,heap_sort,49.5,19.616,0.031
62,ubuntu_pc,bubble_sort,99.68,19.689,5.847
62,ubuntu_pc,selection_sort,98.37,19.735,1.615
62,ubuntu_pc,insertion_sort,99.02,19.739,1.664
62,ubuntu_pc,merge_sort,37.2,20.05,0.021
62,ubuntu_pc,quick_sort,37.15,19.759,0.012
62,ubuntu_pc,heap_sort,49.57,19.743,0.032
63,ubuntu_pc,bubble_sort,99.69,19.595,5.845
63,ubuntu_pc,selection_sort,98.8,19.636,1.583
63,ubuntu_pc,insertion_sort,98.48,19.64,1.66
63,ubuntu_pc,merge_sort,37.05,19.956,0.021
63,ubuntu_pc,quick_sort,37.25,19.665,0.012
63,ubuntu_pc,heap_sort,49.43,19.649,0.032
64,ubuntu_pc,bubble_sort,99.72,19.595,5.9
64,ubuntu_pc,selection_sort,98.75,19.636,1.592
64,ubuntu_pc,insertion_sort,98.8,19.64,1.758
64,ubuntu_pc,merge_sort,37.2,19.952,0.021
64,ubuntu_pc,quick_sort,37.05,19.661,0.012
64,ubuntu_pc,heap_sort,49.63,19.644,0.032
65,ubuntu_pc,bubble_sort,99.63,19.616,5.898
65,ubuntu_pc,selection_sort,98.61,19.661,1.58
65,ubuntu_pc,insertion_sort,98.88,19.665,1.673
65,ubuntu_pc,merge_sort,37.0,19.98,0.021
65,ubuntu_pc,quick_sort,37.05,19.689,0.012
65,ubuntu_pc,heap_sort,49.4,19.677,0.032
66,ubuntu_pc,bubble_sort,99.63,19.624,5.89
66,ubuntu_pc,selection_sort,99.15,19.665,1.59
66,ubuntu_pc,insertion_sort,98.97,19.669,1.668
66,ubuntu_pc,merge_sort,37.05,19.98,0.021
66,ubuntu_pc,quick_sort,37.15,19.689,0.012
66,ubuntu_pc,heap_sort,49.6,19.673,0.032
67,ubuntu_pc,bubble_sort,99.66,19.661,5.9
67,ubuntu_pc,selection_sort,98.41,19.702,1.616
